a_user_id,words,distance,booksperuser,Vocabulary Size,missingwords,missing words %,,,
AFVQZQ8PW0L,1000,0.824398897,23222,66463,0,0,,median,60.5
A14OJS0VWMOSWO,1000,0.753027564,16090,32775,0,0,,avg,56.91660922
A328S9RN3U5M68,1000,0.66938969,2795,24887,0,0,,,
A2F6N60Z96CAJI,1000,0.592031752,5891,39434,0,0,,,
A3LF914GG87TWP,999,0.636108079,1164,14144,1,0.1,,,826
A30TK6U7DNS82R,999,0.74258245,689,14255,1,0.1,,,1319.918601
A1RECBDKHVOJMW,999,0.743752195,701,15969,1,0.1,,,
A21NVBFIEQWDSG,999,0.538910127,2526,20438,1,0.1,,,
A1JV4QKTEB7QBL,999,0.761369055,595,14963,1,0.1,,,
A2TX179XAT5GRP,999,0.666785917,2529,16878,1,0.1,,,
A2EDZH51XHFA9B,998,0.665093925,1864,17005,2,0.2,,,
A1I6U5AQAT3ZG9,998,0.723682123,1163,13285,2,0.2,,,
A1RAUVCWYHTQI4,998,0.687093446,1244,16808,2,0.2,,,
AMX0PJKV4PPNJ,998,0.671408326,1237,19926,2,0.2,,,
A13QTZ8CIMHHG4,997,0.596816408,2949,17815,3,0.3,,,
AFVZXHIUSXINA,997,0.690602219,1137,15739,3,0.3,,,
A3ICDLUQ3V2QY2,997,0.742146315,692,14239,3,0.3,,,
A1D2C0WDCSHUWZ,997,0.779641011,1625,20053,3,0.3,,,
A2VKWLCNZF4ZVB,997,0.711412902,2433,17510,3,0.3,,,
A2MF2QVSCUI27G,997,0.884410924,1428,17702,3,0.3,,,
AISUSPFYY68RO,997,0.660776186,903,10861,3,0.3,,,
A1T17LMQABMBN5,997,0.722598805,1161,9923,3,0.3,,,
A1JJGOFWU48R5U,997,0.67609935,921,14306,3,0.3,,,
A1I2O9Y3X3HXLS,997,1.00045029,1836,35050,3,0.3,,,
A1UFU1Q1KSSWIY,997,0.545184902,991,10339,3,0.3,,,
A3M174IC0VXOS2,996,0.76988985,1576,17092,4,0.4,,,
A134C9GVEU5TQE,996,0.724339114,708,11033,4,0.4,,,
