user_id,missing_in_top_1000,diff,diff_of_missing,diff_of_existing,words_per_user,VOCABULARY SIZE,Missingwordsx,missingwords
17699578,5,0.323077253,0.000153155,0.322924098,89337,10412,0.005,0.5
5811408,10,0.325010142,0.000376053,0.324634089,57913,6576,0.01,1
7973716,17,0.281834685,0.000511809,0.281322876,30611,5272,0.017,1.7
4788588,18,0.22863952,0.00051294,0.22812658,24079,5501,0.018,1.8
13934875,26,0.266065168,0.000881505,0.265183663,19681,4907,0.026,2.6
9927546,29,0.379400661,0.001081893,0.378318767,50783,6121,0.029,2.9
31527914,32,0.342122816,0.001153959,0.340968858,37138,4906,0.032,3.2
24364152,32,0.426998174,0.001557449,0.425440725,47035,5772,0.032,3.2
1907398,35,0.335961721,0.001390086,0.334571635,28057,4693,0.035,3.5
10340026,37,0.309097337,0.001158952,0.307938385,27449,5251,0.037,3.7
8790290,39,0.203206765,0.000931014,0.202275751,15086,4357,0.039,3.9
5489888,40,0.269600384,0.001110965,0.268489419,18341,4827,0.04,4
23944958,42,0.263421155,0.001602511,0.261818645,18448,5191,0.042,4.2
342080,43,0.258437034,0.001516617,0.256920417,17040,4640,0.043,4.3
15445210,43,0.291701348,0.001215378,0.290485971,16031,4927,0.043,4.3
1592694,47,0.329305256,0.003050471,0.326254785,19693,4723,0.047,4.7
2415124,47,0.298078607,0.001857159,0.296221447,17127,4684,0.047,4.7
7022951,47,0.318540458,0.002388538,0.316151921,17775,4563,0.047,4.7
28145373,50,0.340425005,0.001757756,0.338667249,23319,3891,0.05,5
1308458,52,0.38922863,0.003099011,0.386129619,23868,4810,0.052,5.2
23717702,56,0.278117554,0.00206646,0.276051094,17759,4396,0.056,5.6
1364019,60,0.386118917,0.001699534,0.384419384,16799,3489,0.06,6
4478810,63,0.338232435,0.002584016,0.335648419,24070,4507,0.063,6.3
1355003,63,0.376196167,0.004100923,0.372095244,20961,4070,0.063,6.3
3167531,66,0.362397998,0.003133153,0.359264845,18663,4080,0.066,6.6
24062644,67,0.331174615,0.002197957,0.328976658,17115,4145,0.067,6.7
23426612,67,0.326610654,0.002542419,0.324068234,20014,4409,0.067,6.7
4932862,67,0.325793139,0.002250082,0.323543058,19816,3909,0.067,6.7
4948347,68,0.343877884,0.002158187,0.341719697,20496,3708,0.068,6.8
2619078,69,0.361442497,0.002484682,0.358957815,17947,3340,0.069,6.9
453497,69,0.31624588,0.00172716,0.31451872,18644,4170,0.069,6.9
222950,70,0.282823798,0.002638966,0.280184832,13392,3633,0.07,7
2148320,70,0.340461315,0.002275461,0.338185854,15399,3481,0.07,7
37763453,72,0.397206439,0.002982176,0.394224263,17250,3739,0.072,7.2
